win,uri,r_box,xp,tim,sp
1,1734299,4,-0.039332298,0.030747423,1.252762968
0,1734299,2,-0.589984477,0.514463736,1.945910149
0,1734299,1,1.29796585,1.446639793,1.011600912
0,1734299,5,-0.786645969,-0.337010265,1.945910149
0,1734299,6,-1.02263976,-1.588600414,1.504077397
0,1734299,3,1.140636656,-0.066240273,2.079441542
1,1734300,2,0.272556134,0.190643333,1.504077397
0,1734300,3,-1.253758217,-1.081364076,1.791759469
0,1734300,1,-1.217417399,-1.351340784,0.810930216
0,1734300,6,0.581453086,0.371905395,1.386294361
0,1734300,5,0.472430633,1.136484793,2.397895273
0,1734300,4,1.144735764,0.733671339,2.197224577
1,1734302,5,-0.372805867,0.342194511,1.386294361
0,1734302,6,-0.911303229,0.42548388,1.386294361
0,1734302,2,-0.331382992,0.294243021,1.609437912
0,1734302,3,1.905452207,1.314955622,2.397895273
0,1734302,1,-0.497074489,-1.363662552,1.011600912
0,1734302,4,0.20711437,-1.013214482,2.079441542
1,1734304,6,-0.302694859,-0.803589846,1.178654996
0,1734304,5,0.824582546,-0.77494565,2.197224577
0,1734304,4,1.262968203,1.505853359,1.011600912
0,1734304,1,-0.114815291,-0.24112484,1.178654996
0,1734304,3,-1.617851831,-0.673376484,2.564949357
0,1734304,2,-0.052188769,0.98718346,2.197224577
1,1734305,5,0.520793359,-0.722672676,1.504077397
0,1734305,1,0.666131041,-0.277915505,1.252762968
0,1734305,2,-0.641908094,-1.381010469,2.397895273
0,1734305,6,0.884137564,1.424704224,1.504077397
0,1734305,3,-1.731940707,0.425007234,1.252762968
0,1734305,4,0.302786837,0.531887192,1.791759469
1,1734308,1,-0.389959134,0.745534966,0.810930216
0,1734308,5,0.038995913,-0.590312753,1.609437912
0,1734308,2,-0.740922355,0.458000422,2.564949357
0,1734308,3,1.13088149,1.378638531,1.609437912
0,1734308,4,-1.24786923,-1.023719349,1.791759469
0,1734308,6,1.208873317,-0.968141817,1.704748092
1,1734196,2,0.074221518,0.180710389,1.945910149
0,1734196,3,-1.330277971,1.453573251,1.011600912
0,1734196,5,0.96487973,0.732351121,1.252762968
0,1734196,1,-1.090485376,-1.173068938,1.791759469
0,1734196,6,0.96487973,-0.935707663,2.197224577
0,1734196,4,0.416782369,-0.257858159,1.609437912
1,1734142,6,1.167354563,1.257283993,0.693147181
0,1734142,3,1.388537533,-0.284472848,2.397895273
0,1734142,4,-0.638973024,-0.402652126,2.833213344
0,1734142,1,-0.786428337,1.124197273,1.098612289
0,1734142,2,-0.417790054,-1.335513224,1.945910149
0,1734142,5,-0.712700681,-0.358843069,1.791759469
1,1734378,3,0.323656461,-0.209429111,1.386294361
0,1734378,5,-1.246421688,1.175002855,1.098612289
0,1734378,6,1.397920457,1.166041482,1.504077397
0,1734378,2,-0.91587892,-0.983212526,2.197224577
0,1734378,4,0.695517075,-1.117217808,1.791759469
0,1734378,1,-0.254793384,-0.031184892,1.791759469
1,1734360,1,0.048336638,-1.258444163,1.252762968
0,1734360,3,-0.610799332,-0.711825586,1.945910149
0,1734360,6,0.575645414,0.808804291,1.945910149
0,1734360,2,-0.742626526,1.443617582,0.587786665
0,1734360,4,1.682993843,0.115460101,2.079441542
0,1734360,5,-0.953550036,-0.397612226,2.079441542
